No.,ID de pantalla,,Orientacion,Pantallas,Nuc Optimo / Vulnerable,Nuc,Redundancia,Estado Redundancia,SD 300 Nova star,Estado SD 300 Nova star,UPS Cyberpower,Estado UPS Cyberpower,Internet Fibra optica,Camara,Estado Camara,POE,Estado POE,Interruptor termomagnetico 3x100 amp,Interruptor termomagnetico 2x20 amp,Fecha renovación tecnológica pantalla,Marca,Pitch,Numero de gabinetes,Medida de pantalla en m2
47,MX_CM_VV_COL_641,641,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,Unilumin,P10,16,14.74
48,MX_CM_VV_COL_641,641,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,"lunes, 4 de mayo de 2026",Unilumin,P10,16,14.74
49,MX_CM_VV_COL_651,651,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,"viernes, 10 de abril de 2026",Unilumin,P10,16,14.74
50,MX_CM_VV_COL_651,651,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,N/A,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Unilumin,P10,16,14.74
51,MX_CM_VV_COL_656,656,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,Amicibro,P 6,12,11.05
52,MX_CM_VV_COL_656,656,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Amicibro,P 6,12,11.05
53,MX_CM_VV_COL_661,661,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,"viernes, 10 de abril de 2026",Amicibro,P 6,16,14.74
54,MX_CM_VV_COL_661,661,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Amicibro,P 6,16,14.74
55,MX_CM_VV_COL_665,665,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,Unilumin,P10,16,14.74
56,MX_CM_VV_COL_665,665,Sur,1,Optimo,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,"lunes, 4 de mayo de 2026",Unilumin,P10,16,14.74
57,MX_CM_VV_COL_669,669,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,"martes, 14 de abril de 2026",Unilumin,P10,16,14.74
58,MX_CM_VV_COL_669,669,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Unilumin,P10,16,14.74
59,MX_CM_VV_COL_679,679,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,Amicibro,P 6,12,11.05
60,MX_CM_VV_COL_679,679,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Amicibro,P 6,12,11.05
61,MX_CM_VV_COL_689,689,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,Amicibro,P 6,16,14.74
62,MX_CM_VV_COL_689,689,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Amicibro,P 6,16,14.74
63,MX_CM_VV_COL_706,706,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,Amicibro,P 6,16,14.74
64,MX_CM_VV_COL_706,706,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Amicibro,P 6,16,14.74
65,MX_CM_VV_COL_715,715,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,"martes, 14 de abril de 2026",Unilumin,P10,16,14.74
66,MX_CM_VV_COL_715,715,Sur,1,Optimo,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Unilumin,P10,16,14.74
67,MX_CM_VV_COL_735,735,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,LiteStar,P 10,16,14.74
68,MX_CM_VV_COL_735,735,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,LiteStar,P 10,16,14.74
69,MX_CM_VV_COL_748,748,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,Unilumin,P 10,16,14.74
70,MX_CM_VV_COL_748,748,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Unilumin,P 10,16,14.74
71,MX_CM_VV_COL_756,756,Norte,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Amicibro,P 6,12,11.05
73,MX_CM_VV_COL_767,767,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,LiteStar,P 10,12,11.05
74,MX_CM_VV_COL_767,767,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,LiteStar,P 10,12,11.05
75,MX_CM_VV_COL_778,778,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,,LiteStar,P 10,12,11.05
76,MX_CM_VV_COL_778,778,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,LiteStar,P 10,12,11.05
77,MX_CM_VV_COL_791,791,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,"martes, 14 de abril de 2026",Unilumin,P10,16,14.74
78,MX_CM_VV_COL_791,791,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Unilumin,P10,16,14.74
79,MX_CM_VV_COL_802,802,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,"jueves, 16 de abril de 2026",Unilumin,P10,16,14.74
80,MX_CM_VV_COL_802,802,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Unilumin,P10,16,14.74
81,MX_CM_VV_COL_811,811,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,"jueves, 16 de abril de 2026",Amicibro,P 6,16,14.74
82,MX_CM_VV_COL_811,811,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Amicibro,P 6,12,11.05
