No.,ID de pantalla,,Orientacion,Estado de la pantalla ,Fecha instalacion pantalla,Fecha renovación tecnológica pantalla,Pantallas,Nuc Optimo / Vulnerable,Marca,Nuc,Fecha de instalacion Nuc,Redundancia,Fecha de instalacion Teltonika,Estado Redundancia,SD 300 Nova star,Fecha de instalacion SD 300,Estado SD 300 Nova star,UPS Cyberpower,Fecha de instalacion UPS,Estado UPS Cyberpower,Internet Fibra optica,Camara,Fecha de instalacion Camara,Estado Camara,POE,Fecha de instalacion POE,Estado POE,Interruptor termomagnetico 3x100 amp,Interruptor termomagnetico 2x20 amp,Marca,Pitch,Numero de gabinetes,Medida de pantalla en m2
61,MX_CM_VV_COL_689,689,Norte,Optimo,"viernes, 2 de agosto de 2019",,1,,,,02/08/2019,,,,,02/08/2019,,,,,,Hikvision DS-2CD2643G2,02/08/2019,Vulnerable,UTEPO,02/08/2019,Vulnerable,,,Amicibro,P 6,16,14.74
62,MX_CM_VV_COL_689,689,Sur,Optimo,"viernes, 2 de agosto de 2019",,1,Vulnerable,Intel,Nuc,02/08/2019,Teltonika 955,30/08/2025,Optimo,SD 300,02/08/2019,Vulnerable,UPS,03/07/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,02/08/2019,Vulnerable,UTEPO,02/08/2019,Vulnerable,1,8,Amicibro,P 6,16,14.74
63,MX_CM_VV_COL_706,706,Norte,Optimo,"domingo, 31 de marzo de 2019",,1,,,,31/03/2019,,,,,31/03/2019,,,,,,Hikvision DS-2CD2643G2,31/03/2019,Vulnerable,UTEPO,31/03/2019,Vulnerable,,,Amicibro,P 6,16,14.74
64,MX_CM_VV_COL_706,706,Sur,Optimo,"domingo, 31 de marzo de 2019",,1,Vulnerable,Intel,Nuc,31/03/2019,Teltonika 955,30/08/2025,Optimo,SD 300,31/03/2019,Vulnerable,UPS,03/07/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,31/03/2019,Vulnerable,UTEPO,31/03/2019,Vulnerable,1,8,Amicibro,P 6,16,14.74
65,MX_CM_VV_COL_715,715,Norte,Optimo,"lunes, 8 de abril de 2019","martes, 14 de abril de 2026",1,,,,08/04/2019,,,,,08/04/2019,,,,,,Hikvision DS-2CD2643G2,08/04/2019,Vulnerable,UTEPO,08/04/2019,Vulnerable,,,Unilumin,P10,16,14.74
66,MX_CM_VV_COL_715,715,Sur,Critico,"lunes, 8 de abril de 2019",,1,Optimo,Asus,Nuc,08/04/2019,Teltonika 955,31/08/2025,Optimo,SD 300,08/04/2019,Vulnerable,UPS,04/07/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,08/04/2019,Vulnerable,UTEPO,08/04/2019,Vulnerable,1,8,Unilumin,P10,16,14.74
67,MX_CM_VV_COL_735,735,Norte,Optimo,"martes, 9 de abril de 2019",,1,,,,09/04/2019,,,,,09/04/2019,,,,,,Hikvision DS-2CD2643G2,09/04/2019,Vulnerable,UTEPO,09/04/2019,Vulnerable,,,LiteStar,P 10,16,14.74
68,MX_CM_VV_COL_735,735,Sur,Optimo,"miércoles, 10 de abril de 2019",,1,Vulnerable,Intel,Nuc,10/04/2019,Teltonika 955,31/08/2025,Optimo,SD 300,10/04/2019,Vulnerable,UPS,04/07/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,10/04/2019,Vulnerable,UTEPO,10/04/2019,Vulnerable,1,8,LiteStar,P 10,16,14.74
69,MX_CM_VV_COL_748,748,Norte,Optimo,"miércoles, 10 de abril de 2019",,1,,,,10/04/2019,,,,,10/04/2019,,,,,,Hikvision DS-2CD2643G2,10/04/2019,Vulnerable,UTEPO,10/04/2019,Vulnerable,,,Unilumin,P 10,16,14.74
70,MX_CM_VV_COL_748,748,Sur,Optimo,"sábado, 13 de abril de 2019",,1,Vulnerable,Intel,Nuc,13/04/2019,Teltonika 955,01/09/2025,Optimo,SD 300,13/04/2019,Vulnerable,UPS,04/07/2022,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,13/04/2019,Vulnerable,UTEPO,13/04/2019,Vulnerable,1,8,Unilumin,P 10,16,14.74
